Vir: 16916, Phy: 20, Data: 0
Vir: 62493, Phy: 285, Data: 0
Vir: 30198, Phy: 758, Data: 29
Vir: 53683, Phy: 947, Data: 108
Vir: 40185, Phy: 1273, Data: 0
Vir: 28781, Phy: 1389, Data: 0
Vir: 24462, Phy: 1678, Data: 23
Vir: 48399, Phy: 1807, Data: 67
Vir: 64815, Phy: 2095, Data: 75
Vir: 18295, Phy: 2423, Data: -35
Vir: 12218, Phy: 2746, Data: 11
Vir: 22760, Phy: 3048, Data: 0
Vir: 57982, Phy: 3198, Data: 56
Vir: 27966, Phy: 3390, Data: 27
Vir: 54894, Phy: 3694, Data: 53
Vir: 38929, Phy: 3857, Data: 0
Vir: 32865, Phy: 4193, Data: 0
Vir: 64243, Phy: 4595, Data: -68
Vir: 2315, Phy: 4619, Data: 66
Vir: 64454, Phy: 5062, Data: 62
Vir: 55041, Phy: 5121, Data: 0
Vir: 18633, Phy: 5577, Data: 0
Vir: 14557, Phy: 5853, Data: 0
Vir: 61006, Phy: 5966, Data: 59
Vir: 62615, Phy: 407, Data: 37
Vir: 7591, Phy: 6311, Data: 105
Vir: 64747, Phy: 6635, Data: 58
Vir: 6727, Phy: 6727, Data: -111
Vir: 32315, Phy: 6971, Data: -114
Vir: 60645, Phy: 7397, Data: 0
Vir: 6308, Phy: 7588, Data: 0
Vir: 45688, Phy: 7800, Data: 0
Vir: 969, Phy: 8137, Data: 0
Vir: 40891, Phy: 8379, Data: -18
Vir: 49294, Phy: 8590, Data: 48
Vir: 41118, Phy: 8862, Data: 40
Vir: 21395, Phy: 9107, Data: -28
Vir: 6091, Phy: 9419, Data: -14
Vir: 32541, Phy: 9501, Data: 0
Vir: 17665, Phy: 9729, Data: 0
Vir: 3784, Phy: 10184, Data: 0
Vir: 28718, Phy: 1326, Data: 28
Vir: 59240, Phy: 10344, Data: 0
Vir: 40178, Phy: 1266, Data: 39
Vir: 60086, Phy: 10678, Data: 58
Vir: 42252, Phy: 10764, Data: 0
Vir: 44770, Phy: 11234, Data: 43
